Comment
Nayanthara mam is absolutely gorgeous ❤ 🥰. Best song for the year 2023
Fallen in love with this song. I so can relate to the movie as iam too a cancer patient so please everyone keep me in your prayers.
"This song never gets old,the voice of the female singer is fantastic 🙂"
Totally obsessed with this song ❤
love this song ❤❤
The song is fabulous and relaxing🥰👌
Bollywood is Incomplete without Arijit Singh's Melodious Voice 😍❤🔥
I love this song ❤💕
90's kids can relate after so many years we are listening to soothing song
In love with this love song❤
Fabulous song❤❤
Love it ❤🎉
this song never die
I also fallen in love with this song 🤍❤️🥀
What a romantic yet clean song...better than most bollywood songs made these days that show too much skin and kissing
"Just outstanding Song🔥
Lyrics + Bit💥💥"
Bollywood is Incomplete without Arijit Singh's Melodious Voice
"Dear parents: Just because your child is smiling at their phone, doesn't mean they have a boyfriend or girlfriend, they are watching this masterpiece!"
Shilpa rao magical voice❤
every dancer in the group is enjoying which is making the dance more good to watch
As I rè 2:17
I will❤😊
Srk 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
​❤❤
😊
Quite  song.  ❤❤❤
​uuuuuuuuuuuuuuuuuuu7u7🎉India ❤
Wakuyrqasxmnbtye❤😊❤❤❤😊
​ @maryamshahid496 😊😊😊samiya
​ @amithabh-user 😅😅😅😮😮😅😅😊😊😊
​ @amithabh-user 😅😅😅😮😮😅😅😊😊😊
"​ @maryamshahid496 ❤❤❤❤❤❤ ,"
​
​cll
Arijit+srk=
Arijit+srk=🔥🔥❤️
​
U will overcome..we r praying for you
 @manashikakoty4162  hello
Get well soon❤
Get well soon
Will do ❤❤
"Spoiler dedia yaar😢
Btw MayGodHealYou❤"
God bless you 🙏
Well stop listening songs ok
I will pray for u but still
You will be fine very soon....love you all
Remember u in our prayers.
Get well soon 🙏❤
I praying God for you
Take care
Bro u are not going anywhere 😞
May God help you to recover this deadly disease
Get well ❤️‍🩹 soon!
May Allah bless you with best of good health and speedy recovery Amen
Allah give you good health my dear
"My God can heal any kind of illness,he did it for me n He can do it for you too....Have faith and believe in the Lord Jesus Christ and you shall be well...Amen"
Get well soon🤲🏻🤲🏻🤲🏻
Krishna ji will help you🙏
 @sanjanaseecharan2137  hello
Get well soon dear....trust on God...
Get well soon❤
May you get well soon!!! 🥺❤
"Nothing happens to u , u will be alright we pray to god but go with proper treatment"
T
Trueee
Get well soon❤
Get well soon🙏
Get well soon
